player_id,team,name,cpoe,int_ue,ayoe,ay_std,scramble_rate,syoe,syoe_std,prob_sack_given_hit
00-0036264,GB,Jordan Love,-0.005,0.002,0.6,11.1,0.05,0.08,5.5,0.41
00-0038391,GB,Sean Clifford,-0.03,-0.01,0,10,0.05,0,5,0.5
00-0038476,NYG,Tommy DeVito,-0.025,-0.009,0,10.6,0.092,-0.44,4.8,0.67
00-0030533,NYG,Matt Barkley,-0.036,-0.007,0.7,10.3,0.011,-0.1,5,0.5
00-0036212,MIA,Tua Tagovailoa,0.033,-0.004,0.4,9.8,0.029,-0.4,4.7,0.47
00-0034401,MIA,Mike White,-0.033,-0.004,-0.3,8.9,0.008,-0.2,4.8,0.36
00-0039152,TEN,Will Levis,-0.012,0.005,1.2,12,0.021,-0.33,4.7,0.41
00-0038128,TEN,Malik Willis,-0.026,-0.005,-0.9,9.2,0.12,-0.36,4.8,0.62
