team,player_id,name,position,ms_carries,prob_1ytg_given_carry,prob_gz_given_carry,ryoe,ryoe_std
PHI,00-0035208,Olamide Zaccheaus,WR,0.001,0.0,0.0,-0.36,4.6
DET,00-0035040,David Blough,QB,0.001,0.5,0.0,-0.42,4.4
SF,00-0036261,Brandon Aiyuk,WR,0.0,0.0,0.0,-0.02,5.1
MIA,00-0037327,Skylar Thompson,QB,0.0,0.0,0.0,-0.46,4.5
MIA,00-0034798,Durham Smythe,TE,0.0,1.0,0.0,-0.33,4.4
CLE,00-0033885,David Njoku,TE,0.0,0.0,0.0,-0.54,4.6
CIN,00-0036654,Demetric Felton,RB,0.0,0.0,0.0,-0.5,4.5
CIN,00-0035341,Trenton Irwin,WR,0.0,0.0,0.0,-0.16,4.5
ARI,00-0033251,Zach Pascal,WR,0.0,1.0,0.0,-0.22,4.5
LAC,00-0036988,Josh Palmer,WR,0.0,1.0,0.0,-0.28,4.4
DEN,00-0037085,Tyler Badie,RB,0.0,0.0,0.0,-0.41,4.5
DEN,00-0034348,Courtland Sutton,WR,0.0,0.0,0.0,-0.29,4.4
IND,00-0036652,Racey McMath,WR,0.0,0.0,0.0,-0.3,4.4
KC,00-0034272,Marquez Valdes-Scantling,WR,0.0,0.0,0.0,-0.39,4.6
GB,00-0037816,Romeo Doubs,WR,0.0,0.0,0.0,-0.16,4.5
NYG,00-0035535,Darius Slayton,WR,0.0,0.0,0.0,-0.44,4.6
NYG,00-0038115,Daniel Bellinger,TE,0.0,0.0,1.0,-0.3,4.4
HOU,00-0028986,Case Keenum,QB,0.0,0.0,0.0,-0.36,4.4
BUF,00-0035527,Andy Isabella,WR,0.0,0.0,0.0,-0.41,4.5
BUF,00-0031588,Stefon Diggs,WR,0.0,0.0,0.0,-0.29,4.7
DET,00-0036233,Donovan Peoples-Jones,WR,0.0,0.0,0.0,-0.34,4.4
SF,00-0037828,Danny Gray,WR,0.0,0.0,0.0,-0.22,4.5
SF,00-0032434,Brandon Allen,QB,0.0,1.0,0.0,-0.33,4.4
MIA,00-0034418,Cedrick Wilson,WR,0.0,0.0,0.0,-0.35,4.5
ATL,00-0030968,Keith Smith,FB,0.0,1.0,0.0,-0.34,4.3
ATL,00-0036825,Feleipe Franks,TE,0.0,0.0,0.0,-0.38,4.4
ATL,00-0035298,Scott Miller,WR,0.0,0.0,0.0,-0.03,5.0
CLE,00-0036877,Jaelon Darden,WR,0.0,0.0,0.0,-0.27,4.5
CLE,00-0037300,Mike Woods,WR,0.0,0.0,0.0,-0.47,4.6
