nfl_id,name,team,attempts,completions,comp%,yards,air_yards,yac,pass_td,int,2PT,YdsLine,TDsLine,P(300+),scrambles,kneels
00-0036264,Jordan Love,GB,34.0,21.3,62.7%,236.5,260.4,119.8,1.44,0.48,0.00,O 234.5 -101,O 1.5 +126,0.14,1.0,0.8
00-0038391,Sean Clifford,GB,0.2,0.1,58.0%,1.1,1.4,0.6,0.01,0.00,0.00,,,0.00,0.0,0.0
00-0038476,Tommy DeVito,NYG,29.2,18.3,62.7%,196.3,216.0,98.8,0.85,1.01,0.01,O 194.5 +100,,0.05,2.1,0.3
00-0030533,Matt Barkley,NYG,0.3,0.2,59.8%,2.3,2.7,1.1,0.01,0.01,0.00,,,0.00,0.0,0.0
00-0036212,Tua Tagovailoa,MIA,32.3,24.7,76.6%,296.1,243.5,135.2,2.47,0.52,0.00,O 294.5 -100,O 2.5 +112,0.47,0.7,1.1
00-0034401,Mike White,MIA,0.2,0.1,71.0%,1.6,1.4,0.8,0.01,0.00,0.00,,,0.00,0.0,0.0
00-0039152,Will Levis,TEN,29.5,19.6,66.3%,208.8,224.2,100.6,1.06,0.48,0.01,O 206.5 -101,,0.07,0.4,0.1
00-0038128,Malik Willis,TEN,0.2,0.1,64.2%,1.4,1.5,0.6,0.01,0.01,0.00,,,0.00,0.0,0.0
